slot,message_theme,theme_plain_english,source_layer,unit,anomaly_score,metric_snapshot,context_family,context_label,split_family,split_label,role_segment,pitch_role
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:score_context:tied_game,1.4189723320158103,OPS=0.682;OBP=0.345;K%=0.227;PA=110,,,score_context,tied_game,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:terminal_count:0B_0S,1.3746428571428573,OPS=0.488;OBP=0.231;K%=0.0;PA=39,,,terminal_count,0B_0S,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:vsTeam:7002,1.3657142857142859,OPS=0.586;OBP=0.3;K%=0.138;PA=80,,,vsTeam,7002,OF_lower_or_mixed_usage,
foreign_hitter,of_dh_bridge_bat,repair the replacement-relevant OF/DH bridge,role_split_context,DH_primary_or_bridge:vsTeam:2002,1.3575000000000002,OPS=0.425;OBP=0.3;K%=0.4;PA=20,,,vsTeam,2002,DH_primary_or_bridge,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:day:4,1.3504351751534847,OPS=0.591;OBP=0.295;K%=0.231;PA=78,,,day,4,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:vsTeam:1001,1.319627659574468,OPS=0.477;OBP=0.277;K%=0.17;PA=47,,,vsTeam,1001,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:inning_context:5,1.3169103773584907,OPS=0.558;OBP=0.245;K%=0.151;PA=53,,,inning_context,5,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:after_count:after_3B_0S,1.3,OPS=0.924;OBP=0.635;K%=0.115;PA=104,,,after_count,after_3B_0S,OF_lower_or_mixed_usage,
foreign_hitter,two_strike_survival_bat,reduce replacement-slot collapse after two strikes,role_split_context,OF_lower_or_mixed_usage:terminal_count:2B_2S,1.2965151515151516,OPS=0.658;OBP=0.258;K%=0.288;PA=66,,,terminal_count,2B_2S,OF_lower_or_mixed_usage,
foreign_hitter,of_dh_bridge_bat,repair the replacement-relevant OF/DH bridge,role_split_context,DH_primary_or_bridge:day:4,1.2873491379310344,OPS=0.598;OBP=0.219;K%=0.344;PA=32,,,day,4,DH_primary_or_bridge,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:day:2,1.275,OPS=0.794;OBP=0.382;K%=0.157;PA=102,,,day,2,OF_lower_or_mixed_usage,
foreign_hitter,of_dh_bridge_bat,repair the replacement-relevant OF/DH bridge,role_split_context,DH_primary_or_bridge:month:month5,1.2566666666666666,OPS=0.893;OBP=0.393;K%=0.333;PA=84,,,month,month5,DH_primary_or_bridge,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:inning_context:innings_4_6,1.225,OPS=0.825;OBP=0.347;K%=0.122;PA=98,,,inning_context,innings_4_6,OF_high_leverage_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:runner_context:on_full,1.2021291866028707,OPS=0.55;OBP=0.182;K%=0.182;PA=22,,,runner_context,on_full,OF_lower_or_mixed_usage,
foreign_hitter,first_base_traffic_converter,turn runner-on-first states into scoring-position pressure,role_runway_context,DH_primary_or_bridge:lt2_out_on_first,1.1761904761904756,OPS=0.821;OBP=0.333;GDP/PA=0.067;PA=45,,,,lt2_out_on_first,DH_primary_or_bridge,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:day:6,1.175,OPS=0.769;OBP=0.362;K%=0.213;PA=94,,,day,6,OF_lower_or_mixed_usage,
foreign_hitter,of_dh_bridge_bat,repair the replacement-relevant OF/DH bridge,role_split_context,DH_primary_or_bridge:inning_context:2,1.1717857142857147,OPS=0.588;OBP=0.238;K%=0.381;PA=21,,,inning_context,2,DH_primary_or_bridge,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:vsTeam:10001,1.1715614007035497,OPS=0.632;OBP=0.254;K%=0.169;PA=59,,,vsTeam,10001,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:after_count:after_2B_0S,1.1625,OPS=0.788;OBP=0.394;K%=0.226;PA=93,,,after_count,after_2B_0S,OF_high_leverage_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:after_count:after_2B_1S,1.1585364525213875,OPS=0.665;OBP=0.341;K%=0.259;PA=81,,,after_count,after_2B_1S,OF_high_leverage_usage,
foreign_hitter,of_dh_bridge_bat,repair the replacement-relevant OF/DH bridge,role_split_context,DH_primary_or_bridge:day:3,1.1577875243664715,OPS=0.517;OBP=0.368;K%=0.342;PA=38,,,day,3,DH_primary_or_bridge,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:inning_context:2,1.131470588235294,OPS=0.746;OBP=0.306;K%=0.198;PA=86,,,inning_context,2,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:after_count:after_3B_1S,1.125,OPS=0.867;OBP=0.578;K%=0.133;PA=90,,,after_count,after_3B_1S,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:stadium:1003,1.123708133971292,OPS=0.543;OBP=0.227;K%=0.273;PA=22,,,stadium,1003,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:runner_context:risp,1.1125,OPS=0.879;OBP=0.367;K%=0.157;PA=89,,,runner_context,risp,OF_high_leverage_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:stadium:4003,1.0982539682539685,OPS=0.605;OBP=0.302;K%=0.095;PA=63,,,stadium,4003,OF_lower_or_mixed_usage,
foreign_hitter,first_base_traffic_converter,turn runner-on-first states into scoring-position pressure,role_split_context,OF_high_leverage_usage:runner_context:on_first_second,1.0550000000000002,OPS=0.551;OBP=0.231;K%=0.115;PA=26,,,runner_context,on_first_second,OF_high_leverage_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:runner_context:lt2_out_on_third,1.0476724137931035,OPS=0.607;OBP=0.207;K%=0.138;PA=29,,,runner_context,lt2_out_on_third,OF_lower_or_mixed_usage,
