role_model_family,signal_type,rule,target,support_rows,total_role_rows,support_share,target_rate_inside_rule,role_base_target_rate,rate_delta_vs_role_base,lift_vs_role_base,permutation_p_value,semantic_alignment,rule_gate,rule_stability_score,rule_stability_tier,candidate_release_allowed,release_policy
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,failure,4,22,0.1818181818181818,0.0,0.3636363636363636,-0.3636363636363636,0.0,0.279441117764471,counterintuitive_or_negative_control,watch_small_sample_signal,62.377608419524584,thin_watch_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,strong_success,4,22,0.1818181818181818,0.0,0.3181818181818182,-0.3181818181818182,0.0,0.281437125748503,semantically_aligned,watch_small_sample_signal,57.78225367446924,thin_watch_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_contact_discipline_floor=high_top_tercile AND hitter_milb_surface_power=high_top_tercile,in_season_replaced,4,22,0.1818181818181818,0.5,0.2272727272727272,0.2727272727272727,2.2,0.2355289421157684,counterintuitive_or_negative_control,watch_small_sample_signal,54.384503719833056,thin_watch_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_track_continuity=high_top_tercile,strong_success,7,22,0.3181818181818182,0.1428571428571428,0.3181818181818182,-0.1753246753246753,0.4489795918367347,0.373253493013972,counterintuitive_or_negative_control,watch_small_sample_signal,47.201130207118226,thin_watch_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_contact_discipline_floor=low_bottom_tercile,success,5,22,0.2272727272727272,0.8,0.5909090909090909,0.2090909090909091,1.353846153846154,0.3572854291417165,counterintuitive_or_negative_control,watch_small_sample_signal,46.976955180548,thin_watch_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,success,5,22,0.2272727272727272,0.8,0.5909090909090909,0.2090909090909091,1.353846153846154,0.3712574850299401,counterintuitive_or_negative_control,watch_small_sample_signal,46.62765378334241,thin_watch_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_track_continuity=high_top_tercile,success,7,22,0.3181818181818182,0.4285714285714285,0.5909090909090909,-0.1623376623376624,0.7252747252747253,0.3712574850299401,counterintuitive_or_negative_control,watch_small_sample_signal,45.952329108017736,thin_watch_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,in_season_replaced,4,22,0.1818181818181818,0.0,0.2272727272727272,-0.2272727272727272,0.0,0.5289421157684631,counterintuitive_or_negative_control,watch_small_sample_signal,42.50371983306114,thin_watch_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,in_season_replaced,4,22,0.1818181818181818,0.0,0.2272727272727272,-0.2272727272727272,0.0,0.5369261477045908,counterintuitive_or_negative_control,watch_small_sample_signal,42.30411903465795,thin_watch_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_ssg_pilot_screen=low_bottom_tercile,in_season_replaced,4,22,0.1818181818181818,0.0,0.2272727272727272,-0.2272727272727272,0.0,0.5469061876247505,counterintuitive_or_negative_control,watch_small_sample_signal,42.054618036653956,thin_watch_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
