validation_scheme,feature_family,role_model_family,target,model,folds,source_rows,total_valid_rows,mean_feature_count,median_feature_count,mean_auc,mean_brier,mean_logloss,mean_precision_top_25pct,mean_precision_top_33pct,role_prior_mean_brier,role_prior_precision_top_25pct,role_prior_precision_top_33pct,brier_lift_vs_role_prior,top25_precision_lift_vs_role_prior,top33_precision_lift_vs_role_prior,promotion_status
repeated_stratified_cv,milb_damage_command,pitcher,success,ridge_logit,90,49,1470,8.0,8.0,0.5939525462962962,0.25190402976367576,0.6996549338711774,0.5927777777777778,0.5703703703703703,0.25015304560759105,0.4538888888888889,0.44259259259259254,-0.0017509841560847117,0.13888888888888895,0.12777777777777777,do_not_promote
repeated_stratified_cv,milb_damage_command,pitcher,success,balanced_ridge_logit,90,49,1470,8.0,8.0,0.5936053240740741,0.25203665419740273,0.6997071402452673,0.5955555555555556,0.5740740740740741,0.25015304560759105,0.4538888888888889,0.44259259259259254,-0.0018836085898116806,0.14166666666666672,0.13148148148148153,do_not_promote
repeated_stratified_cv,recent_track_continuity,pitcher,success,sparse_l1_logit,90,49,1470,6.0,6.0,0.42246334876543207,0.25826972935976017,0.7107380773599754,0.3844444444444445,0.39444444444444443,0.25015304560759105,0.4538888888888889,0.44259259259259254,-0.008116683752169118,-0.06944444444444442,-0.04814814814814811,do_not_promote
repeated_stratified_cv,milb_level_role,pitcher,success,sparse_l1_logit,90,49,1470,8.0,8.0,0.42428626543209874,0.2604659135386311,0.7165602169450567,0.3888888888888889,0.3981481481481482,0.25015304560759105,0.4538888888888889,0.44259259259259254,-0.010312867931040026,-0.065,-0.04444444444444434,do_not_promote
repeated_stratified_cv,savant_only,pitcher,success,sparse_l1_logit,90,33,990,18.0,18.0,0.4003306878306878,0.2671965722778714,0.7334616846484996,0.28888888888888886,0.3111111111111111,0.246556473829201,0.2518518518518518,0.26666666666666666,-0.020640098448670402,0.037037037037037035,0.04444444444444445,do_not_promote
repeated_stratified_cv,compact_mixed,pitcher,success,ridge_logit,90,49,1470,9.0,9.0,0.536255787037037,0.2874903956017939,0.8055788543346373,0.48666666666666664,0.4981481481481482,0.25015304560759105,0.4538888888888889,0.44259259259259254,-0.03733734999420285,0.03277777777777774,0.055555555555555636,do_not_promote
repeated_stratified_cv,compact_mixed,pitcher,success,balanced_ridge_logit,90,49,1470,9.0,9.0,0.536255787037037,0.28764395755948813,0.8052784022923741,0.4894444444444444,0.5,0.25015304560759105,0.4538888888888889,0.44259259259259254,-0.03749091195189708,0.03555555555555551,0.05740740740740746,do_not_promote
repeated_stratified_cv,recent_track_continuity,pitcher,success,balanced_ridge_logit,90,49,1470,6.0,6.0,0.3320505401234568,0.3003809174715703,0.8109399247028446,0.34444444444444444,0.3648148148148148,0.25015304560759105,0.4538888888888889,0.44259259259259254,-0.050227871863979257,-0.10944444444444446,-0.07777777777777772,do_not_promote
repeated_stratified_cv,recent_track_continuity,pitcher,success,ridge_logit,90,49,1470,6.0,6.0,0.3322241512345679,0.30052170380854787,0.8114841017942743,0.34444444444444444,0.36296296296296293,0.25015304560759105,0.4538888888888889,0.44259259259259254,-0.05036865820095682,-0.10944444444444446,-0.0796296296296296,do_not_promote
repeated_stratified_cv,milb_level_role,pitcher,success,balanced_ridge_logit,90,49,1470,8.0,8.0,0.320775462962963,0.3103891875577018,0.8429405223030472,0.32333333333333336,0.36296296296296293,0.25015304560759105,0.4538888888888889,0.44259259259259254,-0.06023614195011073,-0.13055555555555554,-0.0796296296296296,do_not_promote
repeated_stratified_cv,milb_level_role,pitcher,success,ridge_logit,90,49,1470,8.0,8.0,0.3204282407407408,0.3105285732348125,0.8434528208657851,0.3205555555555556,0.36296296296296293,0.25015304560759105,0.4538888888888889,0.44259259259259254,-0.060375527627221426,-0.1333333333333333,-0.0796296296296296,do_not_promote
repeated_stratified_cv,savant_only,pitcher,success,ridge_logit,90,33,990,18.0,18.0,0.520436507936508,0.31301398021310683,0.9586064115489309,0.36666666666666664,0.41388888888888886,0.246556473829201,0.2518518518518518,0.26666666666666666,-0.06645750638390582,0.11481481481481481,0.1472222222222222,do_not_promote
repeated_stratified_cv,savant_only,pitcher,success,balanced_ridge_logit,90,33,990,18.0,18.0,0.5251190476190476,0.31374240147327453,0.9679414468350185,0.36666666666666664,0.4166666666666667,0.246556473829201,0.2518518518518518,0.26666666666666666,-0.06718592764407352,0.11481481481481481,0.15000000000000002,do_not_promote
repeated_stratified_cv,milb_damage_command,pitcher,success,sparse_l1_logit,90,49,1470,8.0,8.0,0.6028645833333334,0.24334914279570125,0.6793522845727001,0.5722222222222222,0.5666666666666667,0.25015304560759105,0.4538888888888889,0.44259259259259254,0.006803902811889806,0.11833333333333329,0.12407407407407411,watch
