candidate_key,candidate_news_scope,fit_slot,player_id,player_name,search_name,team_or_org,position_or_role,market_realism_status,contract_control_bucket,medical_risk_bucket,market_realism_fit_blend_for_triage_only,person_url,source_url
6d6ec0c129792603,run029_naver_news_collection,foreign_pitcher,663765.0,"Woodford, Jake",Jake Woodford,MIL,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,81.208,,
6e1ab580572b5708,run029_naver_news_collection,foreign_pitcher,681084.0,"Andrews, Tanner",Tanner Andrews,TOR,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,80.319,,
5f7859a298fe593b,run029_naver_news_collection,foreign_pitcher,608650.0,"Enns, Dietrich",Dietrich Enns,BAL,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,medical_history_watch,79.19,,
6b9e581a3ebfed3e,run029_naver_news_collection,foreign_pitcher,664059.0,"Haggerty, Sam",Sam Haggerty,,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_free_agent_or_released_high_access,medical_history_watch,78.584,,
03bbbec5350be454,run029_naver_news_collection,foreign_pitcher,641312.0,"Anderson, Shaun",Shaun Anderson,LAA,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,78.535,,
1dbd6dd10cc9a699,run029_naver_news_collection,foreign_pitcher,680689.0,"Richardson, Lyon",Lyon Richardson,MIL,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,78.386,,
dc255a774b146607,run029_naver_news_collection,foreign_pitcher,688883.0,"Pallette, Peyton",Peyton Pallette,CWS,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,77.005,,
cfc7d7f161849a7d,run029_naver_news_collection,foreign_pitcher,690155.0,"Pushard, Matt",Matt Pushard,MIA,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,medical_history_watch,76.227,,
de8c1d9ac46dfc5b,run029_naver_news_collection,foreign_pitcher,688297.0,"Roycroft, Chris",Chris Roycroft,STL,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,76.102,,
676a2ed2077d1829,run029_naver_news_collection,foreign_pitcher,605335.0,"Leibrandt, Brandon",Brandon Leibrandt,CIN,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,75.33,,
