source_league,team_code,team_name,roster_no,player_name,normalized_player_name,position_group,position,born,height_cm,weight_kg,throws,bats,note,person_url,source_url,source_confidence
NPB,t,Hanshin Tigers,29,"Takahashi, Haruto",haruto takahashi,Pitchers,Pitcher,"Nov. 7, 1995",181,82,L,L,,https://npb.jp/bis/eng/players/91095136.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,50,"Tomida, Ren",ren tomida,Pitchers,Pitcher,"Sep. 6, 2001",176,78,L,L,,https://npb.jp/bis/eng/players/51255157.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,66,"Tsuda, Junya",junya tsuda,Pitchers,Pitcher,"Aug. 27, 2001",179,82,R,R,,https://npb.jp/bis/eng/players/11415159.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,65,"Yuasa, Atsuki",atsuki yuasa,Pitchers,Pitcher,"Jul. 17, 1999",183,86,R,R,,https://npb.jp/bis/eng/players/41845138.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,59,"Fujita, Kento",kento fujita,Catchers,Catcher,"Oct. 18, 2001",173,78,R,R,,https://npb.jp/bis/eng/players/91695151.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,17,"Fushimi, Torai",torai fushimi,Catchers,Catcher,"May 12, 1990",182,89,R,R,,https://npb.jp/bis/eng/players/61065137.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,43,"Machida, Hayato",hayato machida,Catchers,Catcher,"Apr. 3, 2003",186,86,R,R,,https://npb.jp/bis/eng/players/41845150.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,57,"Nagasaka, Kenya",kenya nagasaka,Catchers,Catcher,"Apr. 28, 1994",173,84,R,R,,https://npb.jp/bis/eng/players/91495134.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,68,"Nakagawa, Hayato",hayato nakagawa,Catchers,Catcher,"Jan. 27, 2004",172,76,R,R,,https://npb.jp/bis/eng/players/51455155.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,39,"Sakaeda, Yuki",yuki sakaeda,Catchers,Catcher,"May 16, 1998",180,84,R,R,,https://npb.jp/bis/eng/players/51055153.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,12,"Sakamoto, Seishiro",seishiro sakamoto,Catchers,Catcher,"Nov. 10, 1993",176,79,R,R,,https://npb.jp/bis/eng/players/11915132.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,85,"Shimamura, Rinshiro",rinshiro shimamura,Catchers,Catcher,"Jul. 13, 2003",177,90,R,L,Registered(developmental player ->) (Mar. 11).,https://npb.jp/bis/eng/players/31235150.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,2,"Umeno, Ryutaro",ryutaro umeno,Catchers,Catcher,"Jun. 17, 1991",173,75,R,R,,https://npb.jp/bis/eng/players/21325139.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,24,"Devanney, Cam",cam devanney,Infielders,Infielder,"Apr. 13, 1997",185,88,R,R,,https://npb.jp/bis/eng/players/83585152.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,33,"Itohara, Kento",kento itohara,Infielders,Infielder,"Nov. 11, 1992",175,80,R,L,,https://npb.jp/bis/eng/players/81185134.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,0,"Kinami, Seiya",seiya kinami,Infielders,Infielder,"Jun. 15, 1994",179,81,R,L,,https://npb.jp/bis/eng/players/31735138.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,4,"Kumagai, Takahiro",takahiro kumagai,Infielders,Infielder,"Nov. 10, 1995",175,69,R,R,,https://npb.jp/bis/eng/players/81585136.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,56,"Momosaki, Aoi",aoi momosaki,Infielders,Infielder,"Sep. 11, 2005",179,77,R,R,,https://npb.jp/bis/eng/players/23325159.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,00,"Motoyama, Hiyu",hiyu motoyama,Infielders,Infielder,"Dec. 4, 1998",181,82,R,L,,https://npb.jp/bis/eng/players/33335153.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,7,"Nakano, Takumu",takumu nakano,Infielders,Infielder,"Jun. 28, 1996",172,68,R,L,,https://npb.jp/bis/eng/players/41445153.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,38,"Obata, Ryuhei",ryuhei obata,Infielders,Infielder,"Sep. 21, 2000",184,78,R,L,,https://npb.jp/bis/eng/players/31535138.html,https://npb.jp/bis/eng/teams/rst_t.html,4
