Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,raw_player_name,player_name,npb_left_marker,normalized_player_name,source_league,npb_league,team_code,team_name,level,stat_type,source_url,source_confidence,ops,iso,bb_pct,so_pct,hr_per_pa,sb_attempts,sb_success_pct,run_kill_proxy,regular_playing_time_flag,Pitcher,W,L,SV,HLD,CG,SHO,NWG,PCT,BF,IP,HB,WP,BK,ER,ERA,ip_float,whip_calc,k_pct,k_minus_bb_pct,k_per_9,bb_per_9,hr_per_9,starter_workload_proxy,traffic_command_proxy
"*Takemaru, Kazuyuki",10,14.0,13.0,1,1,0.0,0.0,0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0.0,9,0.0,0.077,0.077,0.077,"*Takemaru, Kazuyuki","Takemaru, Kazuyuki",True,kazuyuki takemaru,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.154,0.0,0.0,0.6428571428571429,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Tanaka, Eito",26,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,"*Tanaka, Eito","Tanaka, Eito",True,eito tanaka,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,,,,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Tanaka, Masahiro",10,18.0,15.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0.0,7,1.0,0.0,0.0,0.0,"Tanaka, Masahiro","Tanaka, Masahiro",False,masahiro tanaka,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Tawa, Ren",23,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,"Tawa, Ren","Tawa, Ren",False,ren tawa,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,,,,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Tima, Julian",10,21.0,21.0,1,3,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6,1.0,0.143,0.143,0.143,"Tima, Julian","Tima, Julian",False,julian tima,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.286,0.0,0.0,0.2857142857142857,0.0,0.0,,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Togo, Shosei",6,9.0,8.0,0,2,0.0,0.0,0,2.0,1.0,0.0,0.0,1.0,0.0,0,0,0.0,3,0.0,0.25,0.25,0.25,"Togo, Shosei","Togo, Shosei",False,shosei togo,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Urata, Shunsuke",52,185.0,163.0,15,42,4.0,1.0,0,48.0,11.0,17.0,2.0,7.0,1.0,10,1,4.0,24,3.0,0.258,0.294,0.315,"*Urata, Shunsuke","Urata, Shunsuke",True,shunsuke urata,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.609,0.035999999999999976,0.05405405405405406,0.12972972972972974,0.0,19.0,0.8947368421052632,5.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
"*Utsunomiya, Kisara",6,2.0,2.0,2,1,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.5,0.5,0.5,"*Utsunomiya, Kisara","Utsunomiya, Kisara",True,kisara utsunomiya,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Wakabayashi, Gakuto",21,29.0,28.0,1,5,1.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,8,0.0,0.179,0.214,0.207,"Wakabayashi, Gakuto","Wakabayashi, Gakuto",False,gakuto wakabayashi,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.421,0.035,0.034482758620689655,0.27586206896551724,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Whitley, Forrest",9,16.0,14.0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,2,0,0.0,8,0.0,0.0,0.0,0.125,"Whitley, Forrest","Whitley, Forrest",False,forrest whitley,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.125,0.0,0.125,0.5,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Yamase, Shinnosuke",5,13.0,13.0,1,3,1.0,0.0,1,7.0,2.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.231,0.538,0.231,"Yamase, Shinnosuke","Yamase, Shinnosuke",False,shinnosuke yamase,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.769,0.30700000000000005,0.0,0.46153846153846156,0.07692307692307693,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
