source_league,team_code,team_name,roster_no,player_name,normalized_player_name,position_group,position,born,height_cm,weight_kg,throws,bats,note,nationality,debut,person_url,source_url,source_confidence
CPBL,ADD,U-Lions,24,CHEN Chieh Hsien,chen chieh hsien,,Center-Fielder,1994/01/07,173,73,R,L,,R.O.C.(TAIWAN),2016/07/29,https://en.cpbl.com.tw/team/person?Acnt=0000001804,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,32,SU Chih Chieh,su chih chieh,,Left-Fielder,1994/07/28,180,88,R,L,,R.O.C.(TAIWAN),2016/07/29,https://en.cpbl.com.tw/team/person?Acnt=0000001474,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,AEO,Guardians,10,CHEN Ping Hong,chen ping hong,,Pitcher,2005/01/13,183,85,L,R,,R.O.C.(TAIWAN),2024/10/08,https://en.cpbl.com.tw/team/person?Acnt=0000007299,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,12,CHIANG Kuo Hao,chiang kuo hao,,Pitcher,1997/12/29,178,84,R,R,,R.O.C.(TAIWAN),2019/08/04,https://en.cpbl.com.tw/team/person?Acnt=0000005479,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,13,LIAO Jen Lei,liao jen lei,,Pitcher,1993/08/30,201,141,R,R,,R.O.C.(TAIWAN),2021/03/14,https://en.cpbl.com.tw/team/person?Acnt=0000002280,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,17,LEE Chien Hsun,lee chien hsun,,Pitcher,1996/09/08,192,106,R,R,,R.O.C.(TAIWAN),2020/09/11,https://en.cpbl.com.tw/team/person?Acnt=0000005561,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,19,CHANG Yi,chang yi,,Pitcher,1994/02/26,182,86,R,R,,R.O.C.(TAIWAN),2024/07/14,https://en.cpbl.com.tw/team/person?Acnt=0000005790,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,32,LAI  Hung Cheng,lai hung cheng,,Pitcher,1988/04/26,180,83,L,L,,R.O.C.(TAIWAN),2012/03/20,https://en.cpbl.com.tw/team/person?Acnt=0000003292,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,34,WANG  Hao Yuan,wang hao yuan,,Pitcher,1995/09/18,181,83,R,R,,R.O.C.(TAIWAN),2019/07/21,https://en.cpbl.com.tw/team/person?Acnt=0000002347,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,44,Shawn MORIMANDO,shawn morimando,,Pitcher,1992/11/20,185,92,L,L,,America,2021/10/31,https://en.cpbl.com.tw/team/person?Acnt=0000006749,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,60,TSENG Jyun Yue,tseng jyun yue,,Pitcher,2001/11/07,174,68,R,R,,R.O.C.(TAIWAN),2021/03/14,https://en.cpbl.com.tw/team/person?Acnt=0000006227,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,66,LI Tung Ming,li tung ming,,Pitcher,1999/12/29,184,74,R,L,,R.O.C.(TAIWAN),2021/11/19,https://en.cpbl.com.tw/team/person?Acnt=0000006739,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,69,SUZUKI Shunsuke,suzuki shunsuke,,Pitcher,1998/06/12,185,86,R,R,,Japan,2024/04/04,https://en.cpbl.com.tw/team/person?Acnt=0000007228,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,90,ABE Yudai,abe yudai,,Pitcher,2000/07/28,183,91,L,L,,Japan,2026/05/12,https://en.cpbl.com.tw/team/person?Acnt=0000007783,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,94,LIN Zhen Cheng,lin zhen cheng,,Pitcher,2000/06/07,195,87,R,R,,R.O.C.(TAIWAN),2024/09/15,https://en.cpbl.com.tw/team/person?Acnt=0000006870,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,31,LIN Dai An,lin dai an,,Catcher,1992/06/23,175,87,R,R,,R.O.C.(TAIWAN),2015/09/10,https://en.cpbl.com.tw/team/person?Acnt=0000001606,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,74,CHANG Yu Hao,chang yu hao,,Catcher,2007/03/17,185,93,R,R,,R.O.C.(TAIWAN),2026/05/30,https://en.cpbl.com.tw/team/person?Acnt=0000007591,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,95,DAI Pei Feng,dai pei feng,,Catcher,2000/01/07,182,75,R,L,,R.O.C.(TAIWAN),2019/03/24,https://en.cpbl.com.tw/team/person?Acnt=0000004645,https://en.cpbl.com.tw/team?ClubNo=AEO,4
CPBL,AEO,Guardians,2,LIN Ze Bin,lin ze bin,,Second-Base Man,1998/12/23,177,78,R,L,,R.O.C.(TAIWAN),2020/10/17,https://en.cpbl.com.tw/team/person?Acnt=0000005510,https://en.cpbl.com.tw/team?ClubNo=AEO,4
