year,t_code,t_code_name,split_value,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,split_type,pa_rank,r_rank,rbi_rank,hr_rank,avg_rank,obp_rank,slg_rank,ops_rank,iso_rank,bb_pct_rank,k_pct_rank,team_count_in_split
2023,3001,롯데,OF_3-5_run_production,110,12,497.0,441,120,9,3,10,44,5,6,90,165,50,64.0,8.0,0.272108843537415,0.3407258064516129,0.3741496598639456,0.7148754663155585,0.10204081632653061,0.08853118712273642,0.18108651911468812,of_lineup_group,7.0,8.0,6.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,10
2023,6002,두산,OF_3-5_run_production,95,10,467.0,406,85,19,2,13,55,2,3,78,147,55,53.0,4.0,0.20935960591133004,0.30472103004291845,0.3620689655172414,0.6667899955601598,0.15270935960591134,0.11777301927194861,0.1670235546038544,of_lineup_group,8.0,7.0,8.0,5.0,10.0,9.0,9.0,9.0,2.0,2.0,5.0,10
2023,7002,한화,OF_3-5_run_production,86,15,379.0,346,81,15,1,6,24,3,4,73,116,34,40.0,5.0,0.23410404624277456,0.2864721485411141,0.3352601156069364,0.6217322641480505,0.10115606936416185,0.0633245382585752,0.19261213720316622,of_lineup_group,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10
2023,2002,KIA,OF_6-9_lower_lineup,129,10,710.0,624,172,31,2,16,64,6,7,127,255,89,86.0,21.0,0.27564102564102566,0.34522111269614836,0.40865384615384615,0.7538749588499944,0.13301282051282048,0.09014084507042254,0.17887323943661973,of_lineup_group,2.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,10
2023,9002,SSG,OF_6-9_lower_lineup,113,10,538.0,466,126,16,2,13,47,13,6,111,185,70,66.0,17.0,0.2703862660944206,0.34962406015037595,0.3969957081545064,0.7466197683048823,0.1266094420600858,0.08736059479553904,0.20631970260223048,of_lineup_group,7.0,5.0,3.0,2.0,6.0,2.0,2.0,2.0,2.0,5.0,5.0,10
2023,5002,LG,OF_6-9_lower_lineup,131,10,675.0,576,167,24,3,7,66,8,6,89,218,105,89.0,34.0,0.2899305555555556,0.3673780487804878,0.3784722222222222,0.74585027100271,0.08854166666666663,0.09777777777777778,0.13185185185185186,of_lineup_group,3.0,1.0,1.0,5.0,1.0,1.0,4.0,3.0,7.0,1.0,1.0,10
2023,6002,두산,OF_6-9_lower_lineup,121,11,588.0,520,146,25,4,8,52,4,3,115,203,65,60.0,24.0,0.28076923076923077,0.3488773747841105,0.3903846153846154,0.7392619901687258,0.10961538461538461,0.08843537414965986,0.195578231292517,of_lineup_group,6.0,6.0,7.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,10
2023,3001,롯데,OF_6-9_lower_lineup,116,13,512.0,447,124,27,2,3,41,6,3,96,164,58,51.0,16.0,0.27740492170022374,0.3440643863179074,0.3668903803131991,0.7109547666311065,0.08948545861297535,0.080078125,0.1875,of_lineup_group,8.0,7.0,8.0,8.0,3.0,6.0,5.0,5.0,6.0,6.0,3.0,10
2023,12001,KT,OF_6-9_lower_lineup,116,13,595.0,521,143,19,2,4,56,3,6,133,178,84,62.0,20.0,0.2744721689059501,0.3447098976109215,0.3416506717850288,0.6863605693959502,0.06717850287907867,0.09411764705882353,0.2235294117647059,of_lineup_group,5.0,4.0,5.0,7.0,5.0,5.0,7.0,6.0,10.0,2.0,6.0,10
2023,11001,NC,OF_6-9_lower_lineup,46,10,186.0,166,38,10,0,3,13,2,2,59,57,21,23.0,2.0,0.2289156626506024,0.2896174863387978,0.3433734939759036,0.6329909803147014,0.11445783132530121,0.06989247311827956,0.3172043010752688,of_lineup_group,10.0,10.0,10.0,8.0,8.0,8.0,6.0,7.0,3.0,7.0,10.0,10
2023,10001,키움,OF_6-9_lower_lineup,124,15,628.0,565,135,23,6,6,42,8,6,154,188,57,61.0,6.0,0.23893805309734514,0.29790660225442833,0.3327433628318584,0.6306499650862867,0.09380530973451326,0.06687898089171974,0.24522292993630573,of_lineup_group,4.0,8.0,6.0,6.0,7.0,7.0,8.0,8.0,5.0,9.0,9.0,10
2023,7002,한화,OF_6-9_lower_lineup,135,16,792.0,720,162,24,2,11,53,8,3,192,223,91,66.0,15.0,0.225,0.2844387755102041,0.30972222222222223,0.5941609977324263,0.08472222222222223,0.06691919191919192,0.24242424242424243,of_lineup_group,1.0,2.0,3.0,3.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,10
2023,1001,삼성,OF_6-9_lower_lineup,97,13,400.0,363,78,16,2,2,22,3,3,93,104,37,34.0,8.0,0.21487603305785125,0.26342710997442453,0.2865013774104683,0.5499284873848929,0.07162534435261708,0.055,0.2325,of_lineup_group,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,7.0,10
2023,5002,LG,non_OF,144,24,3756.0,3246,872,147,19,80,369,41,39,572,1297,473,506.0,86.0,0.26863832409118915,0.3469553450608931,0.39956869993838573,0.7465240449992788,0.13093037584719658,0.09824281150159744,0.15228966986155484,of_lineup_group,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,10
2023,3001,롯데,non_OF,144,28,3697.0,3208,851,167,10,53,373,36,39,663,1197,445,423.0,50.0,0.26527431421446385,0.34463894967177244,0.3731296758104738,0.7177686254822462,0.10785536159600995,0.10089261563429808,0.1793345956180687,of_lineup_group,7.0,4.0,3.0,9.0,4.0,2.0,6.0,2.0,7.0,2.0,6.0,10
2023,11001,NC,non_OF,144,27,3679.0,3219,857,129,23,59,307,75,28,642,1209,454,378.0,76.0,0.26623174899036967,0.34141636814549464,0.37558247903075487,0.7169988471762495,0.1093507300403852,0.08344658874694211,0.17450394128839358,of_lineup_group,8.0,3.0,10.0,7.0,3.0,4.0,4.0,3.0,6.0,9.0,4.0,10
2023,9002,SSG,non_OF,144,28,3739.0,3244,808,149,7,92,360,43,31,630,1247,419,403.0,44.0,0.24907521578298397,0.32925502990755845,0.3844019728729963,0.7136570027805548,0.13532675709001235,0.09628242845680664,0.1684942497994116,of_lineup_group,5.0,5.0,6.0,1.0,9.0,9.0,2.0,4.0,1.0,4.0,2.0,10
2023,6002,두산,non_OF,144,29,3657.0,3219,827,147,14,75,312,57,33,666,1227,399,407.0,60.0,0.2569120844982914,0.3302954984810826,0.3811742777260019,0.7114697762070845,0.12426219322771048,0.08531583264971287,0.18211648892534865,of_lineup_group,10.0,9.0,5.0,3.0,7.0,7.0,3.0,5.0,3.0,8.0,7.0,10
2023,2002,KIA,non_OF,144,27,3723.0,3279,885,136,14,54,335,35,25,628,1211,471,409.0,81.0,0.2698993595608417,0.34158954817637455,0.36931991460811225,0.7109094627844867,0.09942055504727054,0.0899811979586355,0.16868117109857642,of_lineup_group,6.0,2.0,4.0,8.0,1.0,3.0,7.0,6.0,9.0,7.0,3.0,10
2023,12001,KT,non_OF,144,30,3774.0,3315,857,158,8,69,354,34,32,707,1238,410,447.0,30.0,0.2585218702865762,0.3333333333333333,0.37345399698340875,0.706787330316742,0.11493212669683256,0.09379968203497616,0.18733439321674616,of_lineup_group,3.0,6.0,2.0,5.0,6.0,6.0,5.0,7.0,5.0,6.0,8.0,10
2023,7002,한화,non_OF,144,30,3835.0,3306,809,144,7,75,389,70,24,734,1192,406,396.0,36.0,0.24470659407138537,0.33465294272895224,0.3605565638233515,0.6952095065523037,0.11584996975196613,0.1014341590612777,0.19139504563233375,of_lineup_group,1.0,8.0,7.0,3.0,10.0,5.0,8.0,8.0,4.0,1.0,9.0,10
2023,1001,삼성,non_OF,144,34,3669.0,3192,799,128,9,63,350,42,28,651,1134,407,384.0,59.0,0.25031328320802004,0.329734219269103,0.35526315789473684,0.6849973771638398,0.1049498746867168,0.09539384028345599,0.17743254292722813,of_lineup_group,9.0,7.0,9.0,6.0,8.0,8.0,9.0,9.0,8.0,5.0,5.0,10
