context_value,p_no,p_name,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_pa,r_pa,rbi_pa,context_type
05,10643,김재환,21,1,84.0,70,19,1,0,5,13,1,0,28,35,11,14.0,1.0,0.2714285714285714,0.39285714285714285,0.5,0.8928571428571428,0.2285714285714286,0.15476190476190477,0.3333333333333333,0.05952380952380952,0.13095238095238096,0.16666666666666666,month
05,10106,최정,17,1,76.0,65,18,3,0,5,9,0,2,18,36,9,17.0,0.0,0.27692307692307694,0.35526315789473684,0.5538461538461539,0.9091093117408907,0.27692307692307694,0.11842105263157894,0.23684210526315788,0.06578947368421052,0.11842105263157894,0.2236842105263158,month
05,12613,안상현,20,1,53.0,48,12,2,0,0,4,1,0,13,14,6,2.0,3.0,0.25,0.32075471698113206,0.2916666666666667,0.6124213836477987,0.041666666666666685,0.07547169811320754,0.24528301886792453,0.0,0.11320754716981132,0.03773584905660377,month
05,14806,조형우,14,1,50.0,44,10,0,0,1,1,1,2,9,13,4,7.0,0.0,0.22727272727272727,0.25,0.29545454545454547,0.5454545454545454,0.0681818181818182,0.02,0.18,0.02,0.08,0.14,month
05,10815,한유섬,10,1,37.0,35,5,0,0,0,2,0,0,14,5,0,0.0,0.0,0.14285714285714285,0.1891891891891892,0.14285714285714285,0.33204633204633205,0.0,0.05405405405405406,0.3783783783783784,0.0,0.0,0.0,month
05,14153,채현우,17,1,37.0,35,10,3,0,1,1,0,1,9,16,5,6.0,3.0,0.2857142857142857,0.2972972972972973,0.45714285714285713,0.7544401544401544,0.17142857142857143,0.02702702702702703,0.24324324324324326,0.02702702702702703,0.13513513513513514,0.16216216216216217,month
05,10312,이지영,13,1,30.0,24,5,1,0,0,2,0,1,3,6,3,3.0,0.0,0.20833333333333334,0.25925925925925924,0.25,0.5092592592592593,0.04166666666666666,0.06666666666666667,0.1,0.0,0.1,0.1,month
05,13128,최준우,9,1,26.0,20,5,2,0,0,6,0,0,4,7,6,0.0,0.0,0.25,0.4230769230769231,0.35,0.773076923076923,0.09999999999999998,0.23076923076923078,0.15384615384615385,0.0,0.23076923076923078,0.0,month
05,10707,김민식,7,1,18.0,18,1,0,0,0,0,0,0,3,1,0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,month
05,14586,류효승,6,1,14.0,14,3,0,0,1,0,0,0,2,6,1,1.0,0.0,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.6428571428571428,0.21428571428571427,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,month
05,13194,이정범,6,1,13.0,13,3,1,0,0,0,0,0,4,4,0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.5384615384615385,0.07692307692307693,0.0,0.3076923076923077,0.0,0.0,0.0,month
05,15463,김정민,13,1,9.0,8,1,0,0,0,1,0,0,3,1,1,1.0,1.0,0.125,0.2222222222222222,0.125,0.3472222222222222,0.0,0.1111111111111111,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,month
05,16321,홍대인,12,1,8.0,8,2,0,0,0,0,0,0,1,2,2,1.0,3.0,0.25,0.25,0.25,0.5,0.0,0.0,0.125,0.0,0.25,0.125,month
05,14146,김창평,3,1,5.0,5,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,month
05,16318,최윤석,1,1,1.0,1,1,1,0,0,0,0,0,0,2,0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,month
06,16042,정준재,8,1,36.0,31,10,0,1,0,3,0,0,4,12,3,2.0,0.0,0.3225806451612903,0.38235294117647056,0.3870967741935484,0.7694497153700189,0.06451612903225806,0.08333333333333333,0.1111111111111111,0.0,0.08333333333333333,0.05555555555555555,month
06,12922,박성한,8,1,35.0,30,11,4,0,0,5,0,0,3,15,6,3.0,0.0,0.36666666666666664,0.45714285714285713,0.5,0.9571428571428571,0.13333333333333336,0.14285714285714285,0.08571428571428572,0.0,0.17142857142857143,0.08571428571428572,month
06,10643,김재환,8,1,34.0,28,6,0,0,1,5,1,0,14,9,3,4.0,0.0,0.21428571428571427,0.35294117647058826,0.32142857142857145,0.6743697478991597,0.10714285714285718,0.14705882352941177,0.4117647058823529,0.029411764705882353,0.08823529411764706,0.11764705882352941,month
06,15530,에레디아,8,1,34.0,31,8,0,0,3,3,0,0,5,17,4,8.0,1.0,0.25806451612903225,0.3235294117647059,0.5483870967741935,0.8719165085388993,0.29032258064516125,0.08823529411764706,0.14705882352941177,0.08823529411764706,0.11764705882352941,0.23529411764705882,month
06,14699,전의산,8,1,30.0,27,9,3,0,1,3,0,0,9,15,3,5.0,1.0,0.3333333333333333,0.4,0.5555555555555556,0.9555555555555556,0.22222222222222227,0.1,0.3,0.03333333333333333,0.1,0.16666666666666666,month
06,14587,최지훈,8,1,28.0,23,6,0,0,3,4,0,1,1,15,5,4.0,1.0,0.2608695652173913,0.35714285714285715,0.6521739130434783,1.0093167701863355,0.391304347826087,0.14285714285714285,0.03571428571428571,0.10714285714285714,0.17857142857142858,0.14285714285714285,month
06,14806,조형우,8,1,27.0,25,6,4,0,1,2,0,0,7,13,3,3.0,0.0,0.24,0.2962962962962963,0.52,0.8162962962962963,0.28,0.07407407407407407,0.25925925925925924,0.037037037037037035,0.1111111111111111,0.1111111111111111,month
06,11153,김성욱,8,1,19.0,15,6,0,0,0,3,1,0,2,6,4,0.0,0.0,0.4,0.5263157894736842,0.4,0.9263157894736842,0.0,0.15789473684210525,0.10526315789473684,0.0,0.21052631578947367,0.0,month
06,10249,오태곤,7,1,18.0,15,4,0,0,2,2,0,1,4,10,4,3.0,1.0,0.26666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.39999999999999997,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.16666666666666666,month
06,10106,최정,5,1,17.0,15,7,3,0,2,1,0,1,2,16,4,6.0,0.0,0.4666666666666667,0.47058823529411764,1.0666666666666667,1.5372549019607842,0.6,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.23529411764705882,0.35294117647058826,month
06,16321,홍대인,4,1,9.0,9,1,1,0,0,0,0,0,3,2,2,1.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111,month
