role_segment,replacement_relevant,split_family,query_si,si_name,bucket_group,split_label,bucket_path,players,pa,ab,r,h,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,sf,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_per_pa,rbi_per_pa
DH_primary_or_bridge,True,inning_context,3,game_situation,inning,4,inning/13/4,1,28,23,1,3,1,0,0,4,1,4,1,13,0,0,0.0,0.13043478260869565,0.2857142857142857,0.17391304347826086,0.45962732919254656,0.043478260869565216,0.14285714285714285,0.4642857142857143,0.0,0.03571428571428571
DH_primary_or_bridge,True,inning_context,3,game_situation,inning,5,inning/13/5,1,24,21,3,5,1,0,0,6,2,3,0,7,1,0,0.0,0.23809523809523808,0.3333333333333333,0.2857142857142857,0.6190476190476191,0.047619047619047616,0.125,0.2916666666666667,0.0,0.08333333333333333
DH_primary_or_bridge,True,inning_context,3,game_situation,inning,6,inning/13/6,1,27,20,3,4,0,0,1,7,3,6,0,10,0,1,0.0,0.2,0.37037037037037035,0.35,0.7203703703703703,0.14999999999999997,0.2222222222222222,0.37037037037037035,0.037037037037037035,0.1111111111111111
DH_primary_or_bridge,True,inning_context,3,game_situation,inning,7,inning/13/7,1,26,22,5,5,0,0,3,14,8,4,0,6,0,0,0.0,0.22727272727272727,0.34615384615384615,0.6363636363636364,0.9825174825174825,0.40909090909090906,0.15384615384615385,0.23076923076923078,0.11538461538461539,0.3076923076923077
DH_primary_or_bridge,True,inning_context,3,game_situation,inning,8,inning/13/8,1,21,16,2,2,0,0,1,5,1,4,1,7,1,0,0.0,0.125,0.3333333333333333,0.3125,0.6458333333333333,0.1875,0.19047619047619047,0.3333333333333333,0.047619047619047616,0.047619047619047616
DH_primary_or_bridge,True,inning_context,3,game_situation,inning,9,inning/13/9,1,18,13,1,3,0,0,1,6,3,5,0,4,1,0,0.0,0.23076923076923078,0.4444444444444444,0.46153846153846156,0.905982905982906,0.23076923076923078,0.2777777777777778,0.2222222222222222,0.05555555555555555,0.16666666666666666
DH_primary_or_bridge,True,inning_context,3,game_situation,inning,innings_1_3,inning/14/innings_1_3,1,75,65,6,12,0,0,2,18,10,10,0,20,0,0,0.0,0.18461538461538463,0.29333333333333333,0.27692307692307694,0.5702564102564103,0.09230769230769231,0.13333333333333333,0.26666666666666666,0.02666666666666667,0.13333333333333333
DH_primary_or_bridge,True,inning_context,3,game_situation,inning,innings_4_6,inning/14/innings_4_6,1,79,64,7,12,2,0,1,17,6,13,1,30,1,1,0.0,0.1875,0.3291139240506329,0.265625,0.5947389240506329,0.078125,0.16455696202531644,0.379746835443038,0.012658227848101266,0.0759493670886076
DH_primary_or_bridge,True,inning_context,3,game_situation,inning,innings_7_9,inning/14/innings_7_9,1,65,51,8,10,0,0,5,25,12,13,1,17,2,0,0.0,0.19607843137254902,0.36923076923076925,0.49019607843137253,0.8594268476621418,0.2941176470588235,0.2,0.26153846153846155,0.07692307692307693,0.18461538461538463
DH_primary_or_bridge,True,location,2,location_team_stadium,location,Away,location/Away,1,117,97,11,20,2,0,4,34,16,19,1,32,1,0,1.0,0.20618556701030927,0.3418803418803419,0.35051546391752575,0.6923958057978676,0.14432989690721648,0.1623931623931624,0.27350427350427353,0.03418803418803419,0.13675213675213677
DH_primary_or_bridge,True,location,2,location_team_stadium,location,Home,location/Home,1,102,83,10,14,0,0,4,26,12,17,1,35,2,1,0.0,0.1686746987951807,0.3137254901960784,0.3132530120481928,0.6269785022442712,0.14457831325301207,0.16666666666666666,0.3431372549019608,0.0392156862745098,0.11764705882352941
DH_primary_or_bridge,True,month,1,time,month,month3,month/month3,1,14,12,2,1,0,0,1,4,4,1,0,5,1,1,0.0,0.08333333333333333,0.14285714285714285,0.3333333333333333,0.47619047619047616,0.25,0.07142857142857142,0.35714285714285715,0.07142857142857142,0.2857142857142857
DH_primary_or_bridge,True,month,1,time,month,month4,month/month4,1,87,70,5,8,1,0,1,12,6,17,0,20,1,0,0.0,0.11428571428571428,0.28735632183908044,0.17142857142857143,0.45878489326765187,0.05714285714285715,0.19540229885057472,0.22988505747126436,0.011494252873563218,0.06896551724137931
DH_primary_or_bridge,True,month,1,time,month,month5,month/month5,1,84,70,11,19,1,0,5,35,14,13,1,28,1,0,1.0,0.2714285714285714,0.39285714285714285,0.5,0.8928571428571428,0.2285714285714286,0.15476190476190477,0.3333333333333333,0.05952380952380952,0.16666666666666666
DH_primary_or_bridge,True,month,1,time,month,month6,month/month6,1,34,28,3,6,0,0,1,9,4,5,1,14,0,0,0.0,0.21428571428571427,0.35294117647058826,0.32142857142857145,0.6743697478991597,0.10714285714285718,0.14705882352941177,0.4117647058823529,0.029411764705882353,0.11764705882352941
